model,n,Animal-Animal,Animal-Object,Human-Animal,Human-Human,Human-Object,Human-Self,No Interaction,Object-Object
cogvlm,11814,48.1,60.3,70.2,44.7,54.0,46.8,50.7,54.0
ferret,11814,14.9,23.7,23.3,26.4,24.5,33.6,19.7,13.4
gdino,11482,12.6,38.8,52.1,29.9,37.0,39.4,41.3,38.3
internvl2.5,10382,37.9,49.8,52.2,49.3,49.5,50.9,48.3,47.7
llava,11483,10.7,37.1,56.1,28.4,37.0,38.9,36.0,28.4
mimovl,5616,40.4,38.3,38.3,45.1,36.1,46.0,43.0,27.0
minigptv2,10382,33.6,47.4,48.5,46.0,46.1,46.6,44.3,43.1
qwen3vl,9384,59.5,63.2,74.5,66.2,64.7,75.7,60.6,59.1
qwenvl,11540,33.7,54.8,65.2,48.2,47.9,58.8,42.4,31.7
shikra,11814,20.0,28.9,36.0,34.0,35.3,38.8,31.4,24.6
sphinxv2,10382,30.5,46.9,50.9,47.0,46.9,48.3,46.1,42.5
