,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
category,Animal-Animal,Animal-Object,Human-Animal,Human-Human,Human-Object,Human-Self,No Interaction,Object-Object,Affective,Antagonistic,Body Motion,Communicative,Competitive,Cooperative,Relational Movement,Observation,Passive,Physical,Provisioning,Proximity,Social,Supportive
model,,,,,,,,,,,,,,,,,,,,,,
cogvlm,48.1,60.3,70.2,44.7,54.0,46.8,50.7,54.0,51.2,46.3,47.7,49.0,38.2,48.2,49.9,53.1,60.9,51.1,53.2,49.2,56.7,55.6
ferret,14.9,23.7,23.3,26.4,24.5,33.6,19.7,13.4,31.6,29.3,24.0,28.8,12.9,24.9,18.5,19.0,22.9,29.6,21.9,16.4,25.3,33.2
gdino,12.6,38.8,52.1,29.9,37.0,39.4,41.3,38.3,42.2,33.3,33.5,34.7,23.4,31.8,26.9,33.2,42.2,36.4,38.0,20.5,33.0,39.7
internvl2.5,37.9,49.8,52.2,49.3,49.5,50.9,48.3,47.7,51.2,50.3,48.8,50.4,47.0,49.4,45.1,45.1,50.4,49.9,48.0,43.1,48.9,50.1
llava,10.7,37.1,56.1,28.4,37.0,38.9,36.0,28.4,39.3,31.6,33.8,33.6,22.9,33.9,24.2,27.2,38.8,36.6,42.3,16.7,29.7,35.7
mimovl,40.4,38.3,38.3,45.1,36.1,46.0,43.0,27.0,45.7,40.8,42.7,46.7,16.4,43.4,38.2,41.2,44.0,41.9,43.2,39.8,40.7,46.4
minigptv2,33.6,47.4,48.5,46.0,46.1,46.6,44.3,43.1,48.1,46.7,45.2,47.0,41.8,46.0,41.6,41.5,47.1,46.9,45.1,38.9,46.4,47.6
qwen3vl,59.5,63.2,74.5,66.2,64.7,75.7,60.6,59.1,73.1,58.5,65.8,71.1,42.7,69.1,62.4,62.9,67.4,67.4,66.6,62.9,68.6,71.5
qwenvl,33.7,54.8,65.2,48.2,47.9,58.8,42.4,31.7,56.2,45.6,48.1,56.6,28.7,46.6,37.6,42.5,54.7,52.4,55.3,34.3,54.6,54.7
shikra,20.0,28.9,36.0,34.0,35.3,38.8,31.4,24.6,37.9,31.2,35.3,37.6,21.8,33.0,27.6,28.2,32.4,35.0,27.5,25.6,37.5,37.4
sphinxv2,30.5,46.9,50.9,47.0,46.9,48.3,46.1,42.5,49.2,49.1,46.2,48.4,48.5,46.4,40.8,40.7,47.8,48.0,47.5,37.5,46.9,49.2
