AA,AO,F,HA,HH,HO,HS,NI,OO,R,R&F,S,T,model,n,status
48.1,60.3,50.13,70.2,44.7,54.0,46.8,50.7,54.0,60.56,54.7,57.5,45.7,cogvlm,11814,complete
14.9,23.7,22.71,23.3,26.4,24.5,33.6,19.7,13.4,17.74,20.53,20.9,23.8,ferret,11814,complete
12.6,38.8,32.34,52.1,29.9,37.0,39.4,41.3,38.3,37.79,34.64,35.0,30.8,gdino,11482,complete
37.9,49.8,47.48,52.2,49.3,49.5,50.9,48.3,47.7,51.11,49.29,46.3,48.1,internvl2.5,10382,complete
10.7,37.1,30.47,56.1,28.4,37.0,38.9,36.0,28.4,22.51,27.11,28.1,31.9,llava,11483,complete
33.6,47.4,43.93,48.5,46.0,46.1,46.6,44.3,43.1,46.62,45.28,43.1,44.4,minigptv2,10382,complete
33.7,54.8,45.43,65.2,48.2,47.9,58.8,42.4,31.7,45.56,45.49,45.7,45.3,qwenvl,11540,complete
20.0,28.9,31.44,36.0,34.0,35.3,38.8,31.4,24.6,30.91,31.21,29.9,32.4,shikra,11814,complete
30.5,46.9,44.26,50.9,47.0,46.9,48.3,46.1,42.5,47.79,46.02,42.6,45.1,sphinxv2,10382,complete
59.5,63.2,64.41,74.5,66.2,64.7,,60.6,59.1,64.97,64.46,64.8,64.3,qwen3vl,7256,complete
40.6,39.1,42.13,41.0,45.0,36.2,,43.6,26.9,,42.13,36.9,43.5,mimovl,5358,"ff:hcstvg1,hcstvg2,mevis,rvos,vidstg,vidvrd"
